id,published_at,views,likes,dislikes,comments,length
86Yp6-xc6xw,2014-02-05T17:06:25Z,469541,3369,0,487,PT3M34S
0jfyDEjPHZc,2014-11-25T06:18:07Z,5805,52,0,1,PT3M17S
PwqPEFqGf10,2014-09-22T10:55:01Z,511394,2031,0,396,PT20M36S
Mk8pataENZM,2014-05-16T16:00:04Z,1761155,2782,0,263,PT1H37M20S
EiN8TOjq1es,2014-10-02T17:09:20Z,843,11,0,0,PT3M13S
HRw1eNERqyA,2014-04-03T00:47:05Z,2016,6,0,0,PT2M53S
676Fl3nwn2k,2014-08-07T15:09:48Z,1314,6,0,0,PT2M33S
RUP69rV-1PI,2014-03-17T18:30:52Z,7342,19,0,0,PT1M41S
MgXFhLVV6QE,2014-12-22T02:17:55Z,463,6,0,0,PT4M55S
xX81Hanv4yg,2014-02-10T20:21:25Z,1170,3,0,0,PT3M39S
efMX9GAkCoA,2014-02-10T20:08:10Z,687,4,0,0,PT5M10S
GUrlIwyr0vA,2014-08-20T18:04:23Z,419,4,0,1,PT59S
opn4DZLt04Y,2014-08-03T16:20:29Z,511,2,0,0,PT1M
d3FzG7jui3E,2014-04-17T15:00:21Z,428254,3606,0,70,PT10M59S
zkrf31G1iBE,2014-02-09T23:32:30Z,4178,11,0,2,PT39S
fnV6QCa-eHc,2014-06-06T04:30:13Z,15150,73,0,8,PT41M23S
SWiNL_FFyBg,2014-05-08T22:00:01Z,199946,2882,0,1477,PT17M27S
r7__jtu877E,2014-07-25T07:27:35Z,89861,220,0,13,PT37M24S
keuhyaq1bDo,2014-04-27T00:24:29Z,31352,301,0,10,PT11M59S
CeABOIb_18k,2014-08-09T09:20:35Z,4817,41,0,3,PT53S
cgtaaKqvj6Q,2014-12-09T06:43:19Z,644731,805,0,205,PT13M52S
ZnJbbfWkD3I,2014-10-17T22:55:52Z,2188,0,0,0,PT17S
VrbqcbdkULQ,2014-09-16T09:39:55Z,162347,740,0,25,PT3M7S
Hc5Dxwk35Jw,2014-10-04T02:14:49Z,756,3,0,0,PT37S
HZ3kQIYoUsg,2014-08-01T09:18:14Z,447,3,0,0,PT30S
IJ_5VNr8mDE,2014-08-26T10:23:31Z,2814575,13266,0,483,PT2H11M6S
1h5mFH3RRV8,2014-11-06T01:28:26Z,1698,15,0,0,PT40S
floM739jj08,2014-04-27T14:45:35Z,397,4,0,0,PT24S
NNFsCFi6yR4,2014-12-13T03:50:59Z,6271,18,0,0,PT20S
DeX8vv5_3mo,2015-07-16T18:40:56Z,348986,607,0,0,PT34S
jNgP6d9HraI,2015-09-09T07:10:21Z,17939640,288646,0,18846,PT8M38S
9NXIo6PIb5I,2015-12-13T21:26:37Z,35358409,461329,0,29272,PT4M14S
BF_RCRb15cY,2015-03-14T14:00:01Z,2448286,5599,0,280,PT3M14S
JEYh5WACqEk,2015-11-23T13:30:04Z,11286735,269246,0,18790,PT12M8S
5H7hbK8i5-Y,2015-03-03T16:03:36Z,92205,936,0,12,PT3M22S
ptMkEQhtEew,2015-11-04T00:50:31Z,38074,159,0,3,PT2M33S
HH9niGE773o,2015-02-06T10:36:04Z,4328,29,0,0,PT2M39S
xVqCSDyoFu4,2015-05-28T08:34:43Z,982708,131,0,7,PT2M32S
Ky0XDMIXd2I,2015-06-18T12:00:00Z,190549,3743,0,222,PT4M18S
GZqTrNwL2Dc,2015-09-29T17:41:47Z,3709,20,0,0,PT1M41S
dreqaEMtRj4,2015-09-01T18:09:22Z,11340,13,0,0,PT1M33S
LJyW-U35RWc,2015-08-05T15:36:44Z,390801,1381,0,484,PT1M45S
qpj87cKaNh0,2015-12-18T15:00:03Z,965489,13085,0,1845,PT10M26S
hHzcy2KKYiQ,2015-06-29T21:00:00Z,461965,6295,0,964,PT6M55S
-ZQZKOyqHe0,2015-04-04T20:10:40Z,220970,1221,0,141,PT2M19S
1Dg4P3Mlo2g,2015-10-20T15:41:39Z,167730,3614,0,108,PT6M11S
G-D0JQ2aZ5c,2015-04-28T21:30:01Z,4901539,29626,0,3581,PT8M53S
UvfCOOMhQ2o,2015-01-10T07:45:37Z,1518,63,0,5,PT1M52S
VpqfGwj4R5M,2015-11-29T23:25:23Z,94160,119,0,4,PT16S
xu_mRAU14dA,2015-05-20T00:41:07Z,29876,27,0,0,PT1M18S
YsPMi8qNevo,2015-05-15T19:51:55Z,6672,23,0,1,PT1M16S
O_fBKCpqGuI,2015-09-01T15:37:20Z,156826,367,0,39,PT3M34S
kn0NnPQ6wBQ,2015-11-03T21:12:16Z,6288,68,0,2,PT3M24S
zw9n-LOxLwU,2015-10-02T09:42:51Z,1216,9,0,0,PT1M8S
SK_vzBFUhFs,2015-08-14T15:44:20Z,224497,690,0,0,PT1M16S
MKAl8LxRQ3M,2015-11-16T11:35:04Z,113,8,0,0,PT10S
3t0vtRN2vVk,2015-10-20T19:00:00Z,331420,3290,0,604,PT13M46S
Dbg4QV_Q_c4,2015-12-07T01:00:01Z,1209390,18464,0,2198,PT9M8S
xR8gIMCMygM,2015-07-14T18:44:32Z,147701,101,0,3,PT47S
LaQNi6V0l8o,2015-06-30T13:28:23Z,471280,7037,0,115,PT4M14S
VSmtg0zYKc4,2015-10-20T20:33:33Z,710078,4722,0,323,PT6M40S
hwDkQEOSo0Q,2015-09-20T17:29:42Z,77,4,0,0,PT11S
RZLABK5GeJs,2015-01-22T08:34:06Z,5897,24,0,1,PT2M58S
2fxOocW7wcw,2015-02-11T16:46:20Z,1312,12,0,0,PT4M41S
5hkOUMJqw5c,2015-05-09T21:55:33Z,1502,43,0,4,PT1M55S
bTVBqUFcnuM,2015-04-22T03:52:01Z,1585,2,0,0,PT3M31S
Wgj4Z5TXv_E,2015-06-16T14:30:21Z,23644,19,0,1,PT3M52S
ft-bMk4ji6E,2015-07-07T06:43:27Z,111042,2556,0,91,PT5M32S
8_dg6I4h7Po,2015-04-06T17:58:20Z,10531,19,0,1,PT2M9S
