ID,Year,View Count,Length (s),Likes
nW6c6aBdrmE,2015,613010,575.0,2210
MG0Jfun7In8,2015,630716,1990.0,17472
eazk9hzniHE,2015,423037,516.0,1706
qVDxwzocWHk,2015,112741,452.0,1349
D0e67R7N3Kc,2015,236786,291.0,2474
Fn9w3Uy7Zdk,2015,103100,211.0,601
BAi6Kn-yHno,2015,157,10.0,6
wpyX-jlDy7o,2015,16525,348.0,90
7vy_-Ss-RJs,2015,46736,1409.0,218
xQuTZxArBzA,2015,450885,850.0,12329
C3gP2PtHVNM,2015,87,10.0,4
X1zhuMWx25A,2015,5801,12.0,39
8GrePgc4cFk,2015,9,30.0,4
AtgWQY7F1rw,2015,2222,39.0,22
NPNRgCnMt1o,2015,598291,142.0,6476
AeWo_N3nUOc,2015,4697485,234.0,38822
JvFbCpUBmlI,2015,29545,62.0,91
Ht05MgkVIEM,2015,2877,30.0,6
kpZwyauUR40,2015,4013668,3149.0,14433
3me5lCehHhc,2016,426273,46.0,43
wfYbgdo8e-8,2016,14491692,298.0,493463
AyC1K-7GfCU,2016,2378635,109.0,16847
wOmjnioNulo,2016,15123982,383.0,397988
iOlAlgsFLN8,2016,3196777,161.0,12962
B03RJGMch-c,2016,3944578,229.0,34477
VDPSAy0iV0M,2016,8833398,373.0,30151
s2R_YleXVzA,2016,1427429,103.0,3411
r4TeOa4liDs,2016,185918,203.0,1451
Ne3sNoO2qZ8,2016,368635,197.0,3383
4ZLXMtOK30s,2016,219742,54.0,22
6hLSQOyjCaA,2016,283893,311.0,5084
VMpwjez84S4,2016,380015,289.0,1471
rStL7niR7gs,2016,20395342,1173.0,567210
075RC6sZfak,2016,189294,147.0,16
TVq73lzjlow,2016,576257,372.0,1587
GBzeOpWQUZk,2016,187219,432.0,2519
zpwRA9KQnWU,2016,8231457,499.0,46505
OT3PVdzcwbU,2016,376319,573.0,7717
PD4LFEhacxg,2016,183846,269.0,3991
34TKv7ZrhD0,2016,479195,501.0,8473
RAHqz7bdFwI,2016,440250,330.0,4568
9FjVeHsHeI8,2016,1445775,908.0,33194
e3WQyvBpzmk,2016,224650,219.0,2524
cuW0pgAR9x0,2016,1818,50.0,68
9KFC1cxkdFQ,2016,1224910,865.0,26596
x-c2xXkTeAw,2016,416707,209.0,4137
HprzRH1E9e8,2016,3183140,643.0,40445
4XwxZnYGqQk,2016,286234,145.0,4127
3LRJNPmxbTo,2016,447275,245.0,4497
y-ynB5Vw3Bc,2016,977143,671.0,27313
NqdzWkcXbbg,2016,32319,112.0,93
oKKSPXk4hqA,2016,3105506,862.0,31325
WtxQ2GQVOKU,2016,2296,50.0,18
XNXSawxF9Ts,2016,556979,173.0,7898
2odXx11l7S4,2016,77028,202.0,2368
P9i6zTM3aE4,2016,363352,406.0,5361
mYCc4Cjsp5Y,2016,1422276,300.0,12318
_1mvyis9fQg,2016,324923,926.0,1002
cgcOypeB_9k,2016,1082190,443.0,12666
si4CPMsd6uw,2016,2193109,693.0,19291
V_gy0ayT2us,2016,1526187,829.0,21180
Q7sLeMIa6G8,2016,300219,1807.0,7419
XNMLtLO4Tbc,2016,3512660,707.0,45637
SEo9Mn0M0n8,2016,195871,742.0,1609
X_ssq7op00U,2016,477839,334.0,5210
7oV4ttEI468,2016,4600,16.0,34
-kB8-xp1R1s,2016,515950,678.0,16342
cuW0pgAR9x0,2016,1818,50.0,68
5P_c9FlvwFs,2016,4427,441.0,23
4XwxZnYGqQk,2016,286234,145.0,4127
XNXSawxF9Ts,2016,556979,173.0,7898
NqdzWkcXbbg,2016,32319,112.0,93
0YJ1B8NL9tU,2016,9981,249.0,47
WtxQ2GQVOKU,2016,2296,50.0,18
AiOstp0hhAA,2016,387713,1444.0,10126
IvbGeWZSvMg,2016,230766,174.0,6858
P8WsuHnz0rk,2016,311,1517.0,10
vtj_NxbBIWE,2016,460052,730.0,10049
fiPkOwrQhvQ,2016,834186,806.0,3889
b9VkB9udpfg,2016,600917,612.0,13369
Qp2uw39WiDI,2016,56013,139.0,1422
7LwK8qssNLA,2016,6118,470.0,155
XARDE5CyflQ,2016,46599,1845.0,1427
8zGQRbi24VM,2016,4200,301.0,7
IkMB8j3QSvE,2016,813069,803.0,19621
0K9Jc7YpHsA,2016,998492,845.0,28426
VP9vo9-NNo0,2016,536883,167.0,360
obOb31Es7C8,2016,1420611,345.0,6737
ugZrl6qWnC8,2016,18894,948.0,370
91_EMZnsDGU,2016,171565,90.0,26
k2fMB5RmA4k,2016,4906775,309.0,22630
PK8zzdh2h80,2016,1129338,226.0,10219
KzFP6MNN1v4,2016,149452,603.0,2120
L6l0xTHYBEA,2016,881,24.0,56
JQNwQjjPvCE,2016,1527,50.0,42
2Do710BdB80,2016,985591,698.0,16584
VYQqnmcHwQg,2016,483115,614.0,7834
S1yH7T3dCok,2016,654777,1143.0,9455
fMLx3uNlL6U,2016,37243,264.0,1135
4Rxw221cFDU,2016,70,7.0,9
